ID,Label,Con_Name
425,gam Boo,CON Dien Boo
426,rho Boo,CON Dien Boo
427,mu.01 Boo,CON Dien Boo
428,lam Boo,CON Dien Boo
429,tet Boo,CON Dien Boo
430,kap02 Boo,CON Dien Boo
431,iot Boo,CON Dien Boo
432,zet Boo,CON Dien Boo
433,ksi Boo,CON Dien Boo
434,pi.01 Boo,CON Dien Boo
435,eta Boo,CON Dien Boo
436,tau Boo,CON Dien Boo
437,ups Boo,CON Dien Boo
438,alf Boo,CON Dien Boo_eq
439,eps Boo,CON Dien Boo_eq
440,del Boo,CON Dien Boo_eq
441,bet Boo,CON Dien Boo_eq
442,gam Boo,CON Dien Boo_eq
443,rho Boo,CON Dien Boo_eq
444,mu.01 Boo,CON Dien Boo_eq
445,lam Boo,CON Dien Boo_eq
446,zet Boo,CON Dien Boo_eq
447,ksi Boo,CON Dien Boo_eq
448,pi.01 Boo,CON Dien Boo_eq
449,eta Boo,CON Dien Boo_eq
450,tau Boo,CON Dien Boo_eq
451,ups Boo,CON Dien Boo_eq
452,sig Boo,CON Dien Boo_eq
453,bet Cae,CON Dien Cae
454,alf Cae,CON Dien Cae
455,HD  21291,CON Dien Cam
456,alf Cam,CON Dien Cam
457,bet Cam,CON Dien Cam
458,HD  21389,CON Dien Cam
459,HD  49878,CON Dien Cam
460,bet01 Cap,CON Dien Cap
461,alf02 Cap,CON Dien Cap
462,gam Cap,CON Dien Cap
463,del Cap,CON Dien Cap
464,eps Cap,CON Dien Cap
465,alf01 Cap,CON Dien Cap_eq
466,alf02 Cap,CON Dien Cap_eq
467,bet01 Cap,CON Dien Cap_eq
468,gam Cap,CON Dien Cap_eq
469,del Cap,CON Dien Cap_eq
470,eps Cap,CON Dien Cap_eq
471,alf Car,CON Dien CarPupVel
472,eps Car,CON Dien CarPupVel
473,bet Car,CON Dien CarPupVel
474,tet Car,CON Dien CarPupVel
475,iot Car,CON Dien CarPupVel
476,eta Car,CON Dien CarPupVel
477,p Car,CON Dien CarPupVel
478,ups Car A,CON Dien CarPupVel
479,phi Vel,CON Dien CarPupVel
480,nu. Pup,CON Dien CarPupVel
481,tau Pup,CON Dien CarPupVel
482,chi Car,CON Dien CarPupVel
483,gam02 Vel,CON Dien CarPupVel
484,omi Vel,CON Dien CarPupVel
485,del Vel,CON Dien CarPupVel
486,kap Vel,CON Dien CarPupVel
487,lam Vel,CON Dien CarPupVel
488,mu. Vel,CON Dien CarPupVel
489,r Vel,CON Dien CarPupVel
490,q Vel,CON Dien CarPupVel
491,psi Vel,CON Dien CarPupVel
492,zet Pup,CON Dien CarPupVel
493,q Pup,CON Dien CarPupVel
494,c Pup,CON Dien CarPupVel
495,rho Pup,CON Dien CarPupVel
496,j Pup,CON Dien CarPupVel
497,ksi Pup,CON Dien CarPupVel
498,k02 Pup,CON Dien CarPupVel
499,pi. Pup,CON Dien CarPupVel
500,16 Pup,CON Dien CarPupVel
501,HD  66141,CON Dien CarPupVel
502,9 Pup A,CON Dien CarPupVel
503,6 Pup,CON Dien CarPupVel
504,bet Cas,CON Dien Cas
505,alf Cas,CON Dien Cas
506,gam Cas,CON Dien Cas
507,del Cas,CON Dien Cas
508,eps Cas,CON Dien Cas
509,eps Cen,CON Dien Cen
510,bet Cen,CON Dien Cen
511,alf Cen A,CON Dien Cen
512,zet Cen,CON Dien Cen
513,mu. Cen,CON Dien Cen
514,nu. Cen,CON Dien Cen
515,d Cen,CON Dien Cen
516,tet Cen,CON Dien Cen
517,iot Cen,CON Dien Cen
518,gam Cen,CON Dien Cen
519,del Cen,CON Dien Cen
520,lam Cen,CON Dien Cen
521,rho Cen,CON Dien Cen
522,n Cen,CON Dien Cen
523,gam Cep,CON Dien Cep
524,bet Cep,CON Dien Cep
525,alf Cep,CON Dien Cep
526,iot Cep,CON Dien Cep
527,kap Cep,CON Dien Cep
528,eta Cep,CON Dien Cep
529,del Cep,CON Dien Cep
530,zet Cep,CON Dien Cep
531,eps Cep,CON Dien Cep
532,mu. Her,CON Dien Cer
533,ksi Her,CON Dien Cer
534,tet Her,CON Dien Cer
535,omi Her,CON Dien Cer
536,iot Her,CON Dien Cer
537,mu. Her,CON Dien Cer_eq
538,ksi Her,CON Dien Cer_eq
539,nu. Her,CON Dien Cer_eq
540,tet Her,CON Dien Cer_eq
541,omi Her,CON Dien Cer_eq
542,109 Her,CON Dien Cer_eq
543,110 Her,CON Dien Cer_eq
544,111 Her,CON Dien Cer_eq
545,del Cet,CON Dien Cet
546,omi Cet,CON Dien Cet
547,zet Cet,CON Dien Cet
548,tet Cet,CON Dien Cet
549,eta Cet,CON Dien Cet
550,tau Cet,CON Dien Cet
551,ups Cet,CON Dien Cet
552,iot Cet,CON Dien Cet
553,bet Cet,CON Dien Cet
554,2 Cet,CON Dien Cet
555,eps Cet,CON Dien Cet
556,pi. Cet,CON Dien Cet
557,sig Cet,CON Dien Cet
558,rho Cet,CON Dien Cet
559,gam Cet,CON Dien Cet
